照片,該照片的文字敘述
文件三_第41頁,這是一張「凱比機器人實務應用研習」現場先進設備的高清特寫照片。畫面拍攝於113年4月27日的研習教室講台長桌上，右下角飾有粉紅色對話框標記日期與活動名稱。長桌上整齊劃一地排開了四台外型小巧精緻的黑色「凱比機器人（Kebbi）」，每台機器人的面部黑色液晶螢幕上都亮著充滿靈氣與科技感的幽藍色圓形大眼睛，胸前的核心發光指示燈亦散發著微藍光芒；在講台後方較高處，還端放著另一台同款的純白色凱比機器人作為對比展示。背景是大教室明亮的木質護牆板與投影布幕，整張照片直觀展示了學院大手筆引進多台智能服務機器人供學生親自編程、演練對話互動邏輯的頂級教學規格。
文件三_第42頁,這張照片記錄了一場專注於無程式碼數據分析的「創藝文字探勘 Orange3 工作坊」精彩授課實況。畫面拍攝於城中校區5216菁英講堂內，教室配備了階梯式隔音會議桌、舒適的旋轉皮椅與天花板柔和的內嵌式氛圍燈條。前方講台大螢幕正投射出 Orange3 軟體強大的視覺化流程畫布與數據特徵矩陣表。一位身穿優雅白色短袖上衣配長褲的青年女講師正站在台前，左臂優雅地向後展開指向布幕上的文字關聯分析圖表，深入淺出地解說如何無須撰寫繁複程式碼、僅需拖拉元件即可完成海量文本特徵擷取與情感分類。台下學員端坐在電腦前專注聆聽，展現出人社與商管跨域學員輕鬆跨入大數據領域的學習熱忱。
文件三_第43頁,這是一張充滿科技酷炫感的「2024 資料科學系大哉問 線上QA互動座談」預告海報。海報採用極具視覺張力的全黑底色，中央主標題以巨大的青綠色霓虹發光立體字體呈現，字體邊緣閃爍著宛如雷射光束般的動態光暈，上方標註醒目的黃色數字「2024」，中央為大字「資料科學系大哉問」，下方為「線上QA互動座談」。左上方端正放置著巨量資料管理學院與資料科學系的官方Logo。整張海報沒有任何冗餘繁複的資訊干擾，純粹透過極簡而強烈的賽博龐克（Cyberpunk）霓虹視覺語言，向所有關注東吳資科系的高中生與家長傳達出該系走在資訊科技最尖端的前衛品牌形象，極具震撼力。
文件三_第44頁,這是一張以美式超級英雄漫畫與賽博龐克插畫風格繪製的高張力工作坊招生海報，頂部以醒目的發光大字拋出靈魂拷問：「不想被取代？秒懂AI機器人在想什麼！」。畫面背景是一間充滿未來科幻感的地下駭客機房，各類監控螢幕、精密主機電路與縱橫交錯的線纜雜亂而有序。前景一位頭戴全罩式耳機、身穿深灰色連帽衛衣的年輕工程師正坐在電腦桌前，與前方大螢幕上顯現的重裝機械智慧機器人進行神經網絡對峙。海報下方詳細標註研習核心向度（AI機器人的思考邏輯、文字探勘基礎技術、文字視覺化），並載明活動時間為5/20下午13:00至17:00於雙溪校區H211舉行，由高漢強、鄭雅綿、何旻芹三位優秀講師聯手授課，極具煽動力與吸睛效果。
文件三_第45頁,這是一張「創藝文字探勘 Orange3」無程式碼工作坊的官方招生簡章海報。海報採用溫暖明亮的橙黃色幾何色塊設計，上方以大字標籤強調「探索文字的力量，無需程式碼！」，說明如何借助開源 Orange3 軟體，免除背誦語法的痛苦，透過圖像化拖拉元件一鍵完成海量社群文本爬梳、文字探勘與情感價值挖掘。海報清楚載明研習時間為5月4日（六）上午09:00至12:00，地點在城中校區5216菁英講堂，特別提醒學員自備筆電。由自然語言處理實驗室許昕云講師親自授課，右下角配有可愛的戴眼鏡大眼橘色吉祥物插圖與報名專用 QR Code，下方並列出教育部數位人文計畫與巨資學院等主辦單位標誌，極具推廣誠意。
文件三_第46頁,這是一張「2024 資料科學系大哉問 線上QA互動座談」的官方流程規劃與邀請海報。海報背景是充滿流線動感的青藍色幾何電路圖騰，左側印有綠黃色「2024 Welcome」立體徽章與大聲公插圖，上方大字宣告活動名稱，並以醒目的紅色方塊標記活動日期為「4/27 (SAT.) 10:00~12:00」。海報詳細列出四階段活動流程：09:50-10:00 準備登入、10:00-10:05 準時開場、10:05-11:00 準備指引以及QA回答、11:00-12:00 雙向互動交流。左下方註明邀請對象為通過東吳大學申請入學第一階段篩選之考生與家長，右下方附有清晰的 Microsoft Teams 會議連線 QR Code，提供一站式通暢的線上諮詢指引。
文件三_第47頁,這是一張針對東吳在學學士班三年級優秀學生所發布的「113學年度學碩一貫招生（學士生先修碩士班課程）」官方簡章海報。海報上方以深黑色與亮橘色斜角幾何拼貼為底，展示了商務人士操作筆電數據報表的高階影像，中央以巨大的金黃色粗體字宣告核心標題：「資料科學系 113學年度學碩一貫招生」。簡章詳細列出申請關鍵資訊：申請受理期間為113年5月2日起至5月31日止；全系錄取名額精選至多6名；應繳交資料包括歷年成績單（須附名次證明）、自傳、讀書計畫（詳述進修動機、學習計畫及自我能力評估）及其他有利審查資料，統一合併為單一PDF檔寄至指定信箱，為有志提前攻讀碩士學位並縮短修業年限的學子提供極具競爭力的培育通道。
文件三_第48頁,這是一張專為4月27日線上QA座談會進入報名最後倒數所製作的動態宣傳海報。海報背景融合了深邃夜空與現代化城市高樓剪影，下方繪製了一台展開的超大平板電腦，一位背著書包、手握鉛筆的熱血女高中生正趴在螢幕上專心閱讀，身後環繞著筆記型電腦、雲端伺服器與發光的知識燈泡。海報上方以粗體大字呈現主題「東吳資料科學系大哉問 線上QA互動座談」，中央以鮮豔的紅色標牌特別警告：「4/26報名截止！活動時間 4/27 10:00-12:00」，並附有大尺寸的報名專用 QR Code 與手繪指示箭頭，底端並設有搜尋欄引導搜尋「東吳資科」，強烈提醒所有通過一階篩選的考生與家長務必把握最後報名時限。
文件三_第49頁,這是一張手機垂直短影音（Reels）格式的先進科研設備開箱展示截圖。畫面背景是一間明亮寬敞的研討教室，中央佇立著一位留著俏麗及肩短髮、齊瀏海，身穿黑色深V領短袖針織衫與淺藍色高腰牛仔褲的氣質女同學。她雙手捧著一套系所最新引進的專業穿戴式科研設備——一手拿著外接控制的黑色智慧型手機，另一手展示著連接線另一端的厚黑框 AR 智慧眼動儀眼鏡，正對著鏡頭展露親切自信的笑容，準備向觀眾演示該裝置如何精準捕捉眼球注視點軌跡與瞳孔直徑變化。海報四周點綴著科技青藍色幾何圖案，底部以白色藥丸型標籤標示「東吳大學資料科學系」，完美詮釋了資科系走在人機互動與多媒體數據採集尖端的硬實力。
文件三_第50頁,這是一張極具好萊塢科幻大片震撼視覺效果的活動花絮片頭圖卡。整張圖片以深邃黑暗的宇宙空間為底，中央爆發出無數道朝四周極速放射延伸的紫色、青色與黃色立體雷射光束，營造出宛如以超光速在曲速時空中穿梭的強烈動態視覺張力。在爆發的光芒正中央，以剛勁有力的純白色立體書法風格字體題寫著核心文字：「遇見東吳 台北場 活動花絮」，上方標示「東吳大學巨量資料管理學院」，下方則清楚註明活動日期與確切地點：「2024.4.13 哲生樓」。整張圖卡以極致前衛炫目的視覺風格，為4月13日在外雙溪校區舉辦的學系諮商博覽會各項精彩花絮拉開序幕，展現出無與倫比的社群傳播魅力。
文件三_第51頁,這是一張為2024「遇見東吳台北場」所量身繪製的學系諮商指南海報。海報頂部以深藍色科技流光為底，標註「東吳大學資料科學系 2024遇見東吳台北場 學系諮商」。海報以醒目的紅色方塊載明諮商時間為「4/13 (SAT.) 12:50~16:30」，地點在東吳外雙溪校區哲生樓3樓303教室，邀請對象為通過個人申請第一階段篩選之考生與家長。海報左下方附有一張外雙溪校區平面導覽地圖，並以清晰的紅色虛線箭頭標示出從校門沿敬熙路步行至哲生樓的行走動線；右下方則配有哲生樓古樸洗石子牆面與石階的實體外觀照片，指引極其明確直觀，為初次造訪東吳校園的家庭提供了最溫馨踏實的接待導航。
文件三_第52頁,這是一張專門慶賀資料科學系學士班應屆畢業生在研究所升學考試中大放異彩的「112學年度研究所錄取榜單（第一篇）」光榮金榜海報。海報採用極致尊榮高貴的深藍色星空為底，四周點綴著閃爍的金色星芒與金屑，頂部懸浮著一條燦爛輝煌的金黃色緞帶橫幅，上方印有「112學年度研究所錄取榜單」字樣。海報中段以整齊大器的白色與金色字體，榮耀列出多位優秀系友錄取的國內頂尖名校榜單：包括蘇睿詮同學錄取國立中央大學資訊工程學系碩士班、吳姿伶同學錄取國立臺灣科技大學人工智慧跨域科技研究所、張恩齊同學錄取國立臺灣科技大學財務金融研究所，以及何旻芹、蔡成杰、周子傑、戈雲等四位優秀同學直接直升錄取東吳大學資料科學系碩士班，展現學系紮實的升學競爭力。
文件三_第53頁,這張圖片是112學年度研究所錄取金榜海報的「第二篇」，延續統一的高貴深藍底色與金色榮譽星芒設計。海報中央以亮麗字體隆重展示四位優秀同學橫跨全台多所頂尖頂大的驚人錄取戰果：第一位張芷晴同學一人獨攬四榜，同時強勢錄取國立成功大學智慧科技系統碩士學位學程、國立中山大學資訊工程學系資通安全組、國立臺灣科技大學人工智慧跨域科技研究所，以及國立中興大學資料科學與資訊計算研究所；第二位葉皓允同學錄取中央資工碩士班、中央資工AI碩士班與軟體工程碩士班三冠王；第三位李宥辰同學錄取中央大學AI國際碩士學程與台科大AI跨域研究所；第四位詹于頡同學錄取中央企管、中興行銷、台科大科管與台科大企管四大商管研究所，戰果極為輝煌。
文件三_第54頁,這張圖片是112學年度研究所升學金榜海報的「第三篇（頂尖名校篇）」，收錄了該年度錄取全台最高學府的最頂級金榜。海報中央榮耀展示四位同學登峰造極的升學戰報：第一位李承彥同學榮譽錄取全台首善之國立臺灣大學資料科學碩士學位學程；第二位蘇子恩同學同樣強勢錄取國立臺灣大學資料科學碩士學位學程，並同時錄取東吳資科碩士班；第三位劉宸瑋同學一人狂掃四所頂大，同時斬獲國立清華大學服務科學研究所、國立成功大學數據科學研究所、國立臺灣科技大學資管所甲組以及國立陽明交通大學管科所乙組；第四位鄭孟恒同學則同時獲國立政治大學資訊科學系智慧計算組、台科大資工所與中正資工所錄取，徹底印證東吳資科媲美頂大的頂級升學硬實力。
文件三_第55頁,這是一張專為4月27日線上QA座談會進行最終報名動員所設計的插畫海報。海報採用沉穩的深灰色為底，頂部以醒目的青綠色與亮橘色大字寫著「東吳資料科學系大哉問 線上QA互動座談」。中央以紅底白字大標籤發出最後提醒：「4/26報名截止！4/27 (六) 10:00 - 12:00」，並附上大尺寸的報名表單 QR Code。畫面下半部繪製了一幅極富現代感的插圖：一位女高中生揹著書包趴在展開的巨型平板電腦前全神貫注地使用筆記型電腦查閱資訊，周圍環繞著發光的科技燈泡、雲端主機、紙飛機與城市建築剪影，底端設有「東吳資科」搜尋欄。整張海報以極具緊迫感的社群語言呼籲考生把握面試前最後與教授線上對談的寶貴機會。
文件三_第56頁,"這是一張名為《If you can't be good, be colorful.》的資科系108級優秀系友林家瑋學姐深度專訪報刊專題（第一頁）。版面以專業雜誌排版呈現，左上角放有一張林家瑋學姐身穿純白襯衫、佩戴細鍊、面帶自信和藹微笑的高解析度半身專業形象肖像照。左下方以深灰字體詳列其卓越的學經歷：東吳巨資學院資料科學學士、巨資碩士，目前任職於全球知名的微星科技（MSI）擔任高級軟體工程師。專訪文章以細膩筆觸記錄她「選擇自己的未來，走向量化大數據趨勢」的心路歷程，詳述她如何在短短五年內透過一貫修業取得學士與碩士雙學位，並在大學期間參與微星實習、協助開發智能營運報表系統並運用機器學習進行存貨分配最佳化的精彩求學故事。"
文件三_第57頁,這是林家瑋學姐專訪報刊的精彩第二頁，主題聚焦於「課業之餘利用實習與產業接軌」及「選你所愛，愛你所選」。版面右下方展示了兩張珍貴的職場實習歷史照片：一張是家瑋學姐與實習夥伴在台新金控大樓前親密合影，另一張是她與主管在勤業眾信會計師事務所（Deloitte）辦公室內的職業留影。訪談內容極其真摯感人，學姐詳述她在學期間把握寒暑假主動投遞履歷，先後在電商、勤業眾信審計部及台新金控專案部實習，親身體會大數據分析如何直接為企業創造百萬效益；文末她深情勉勵學弟妹「選你所愛，愛你所選」，不要害怕犯錯，勇敢在大學期間多方嘗試比賽與實習，專訪全文充滿對後輩的深切關懷與激勵力量。
文件三_第58頁,這是一張充滿現代科技極簡美學的全新教學設備發表宣傳海報。整張海報以深邃沉穩的純黑色為背景，兩側飾有淡淡的青藍色幾何電路板光條。海報左上方以醒目的白色英文字體宣告：「Introducing New Equipment: Kebbi Air S - Robot Creator」，正中央是一座懸浮在空中的金屬圓形科技發光展示台，展示台上方漂浮著一台小巧靈動、充滿未來感的「凱比機器人（Kebbi Air S）」，機器人擁有白色的外殼、靈活的手臂與發光的圓形科技大眼睛，左側手掌俏皮地舉起向大家揮手。左下方印有巨量資料管理學院與資料科學系的官方英中文品牌標誌。整張海報設計精準幹練，向全校宣告學系在AI人機互動與智慧服務教學設備上的全面升級。
文件三_第59頁,這張照片記錄了113年資料科學系舉辦「多媒體資料檢索與處理專題講座」時的高規格大班課堂實況。教室前方寬大的白板上，講師用黑色白板筆工整書寫了多行深奧的系統配置代碼，包括網路IP位址「192.168.1.100」、終端指令「ssh jetson@192.168.55.1」、Jupyter 連線以及 Docker 容器部署指令。一位身穿深灰色長袖襯衫、打著深色領帶配戴眼鏡的資深專業講師站在白板前，右手抬起向台下做出明確的邏輯手勢，正深入剖析海量多媒體影音與特徵向量的高速檢索演算法。台下整齊坐滿了戴眼鏡、神情極度專注的男同學與女同學，大家聚精會神地凝視白板思考代碼邏輯，展現出高度專業且充滿學術硬實力的課堂氛圍。
文件三_第60頁,這是一張極具人文情懷與國際交流意義的海外主流報章全版新聞剪報。整版報紙以醒目的大字新聞頭條報導：「照顧關懷離鄉背井學弟妹 大馬學長情繫東吳」，詳細報導了東吳大學馬來西亞校友會與巨資學院之間深厚動人的互助傳承故事。版面中央刊登了多張歷史紀念照片，包括東吳大學校長親自接見馬來西亞訪賓、各系大馬僑生在校園內熱情聚會合影、以及校友們在各行各業開花結果的卓越事蹟。專題文章中深情記錄了多位來自馬來西亞的僑生在東吳資料科學系就讀期間，如何克服文化差異與語言隔閡，在熱心學長姐與系所師長的無私輔導下，半工半讀完成大數據學業並成功進入國際頂尖科技外商任職的感人奮鬥歷程，展現出東吳溫暖包容的國際化大家庭氛圍。
文件三_第61頁,這是一張「開拓之旅：探索自動化流程 打造專屬應用程式」實戰工作坊的官方招生宣傳海報。海報採用充滿未來科技質感的深藍色霓虹介面設計，上方以大字宣告主題，並強調「歡迎非資訊科系、無資訊背景學生及教職員參加」，主打零基礎友善。海報以精緻的雙欄時程表詳細列出兩天12小時的充實課程大綱：3月30日（六）講授 Power Apps 介面、事件回報App與行動打卡App實作；3月31日（日）講授 Power Platform、Power Automate 文件整理小幫手與表單彙整自動化應用。工作坊於城中校區5216菁英講堂舉行，由陳星儀與李汝盈兩位資深講師聯手主講，名額僅限30位並免費提供美味午餐，附有報名專用 QR Code。
文件三_第62頁,"這是一張專門圖解大專校院各項高額學雜費與住宿費補助的「政策好消息懶人包」圖卡。畫面巧妙設計成四個手機簡訊通知泡泡交疊的形式，上方大字宣告：「好消息！學士班學雜費、住宿費減免方案」。左側第一個對話框詳細圖解行政院減免學雜費3.5萬措施：資料科學系日間學士班每學期學雜費原為NT$55,990元，直接扣除行政院定額減免NT$17,500元，每位學生每學期實繳僅需「NT$38,490元」（每年兩學期共減免3.5萬元）；右側第二個對話框則說明教育部大專校院校內住宿補貼計畫：自113年2月起入住校內宿舍，一般身分每學期直接補貼5,000元，經濟弱勢生每學期更高達7,000元，下方附有資科系更多介紹的專屬二維碼，政策福利一目了然。"
文件三_第63頁,這是一張以東吳大學校園標誌性景觀為背景的「企業實習與徵才合作」官方邀請海報。海報上半部以仰角全景拍攝東吳大學外雙溪校區雄偉古樸的石雕校門景觀，在晴空綠樹掩映下，「東吳大學」四個深邃沉穩的黑色大字鐫刻在石牆中央，前方階梯式花台精心擺放著「SOOCHOW」大型立體黑色金屬校名雕塑。海報中央以半透明深色橫幅大字宣告合作主旨：「歡迎企業徵才·學生校外實習合作——建立產業大數據人才管道，培養資料分析即戰力」。底部整齊提供官方聯絡管道，包含公務聯絡信箱（lily66280000@scu.edu.tw）與專線電話（02-2881-9471分機5937），熱烈向產業界拋出橄欖枝，攜手推動數據產學共贏。
文件三_第64頁,這是一張隆重發布資料科學系頂尖科研與教學新設備的形象圖卡，上方以彩色大字題寫：「資料科學系新設備發表 #新設備」。圖卡以圖文並茂的形式，極具視覺衝擊力地並排展示了系所斥資引進的三大重量級前瞻人機互動與AI硬體設備：第一項是上方展示的「SOL穿戴式AR眼動儀／AR眼鏡」，配有精密的眼球微攝影機與外接數據線；第二項是左下角展示的荷蘭原裝「Xsens人體慣性動作捕捉系統」，特寫箱內整齊排列的數十枚高精度橘色慣性感測模組與專用束帶；第三項則是右下角展示的純黑色「凱比機器人」，螢幕亮著俏皮靈動的藍色大眼睛並向大家揮手。整張圖卡充分展現出學系在智慧穿戴與機器人領域的領先設備實力。
文件三_第65頁,"這是一張由東吳大學學生學習資源組主辦的「112-2 自主學習社群」官方招募宣傳海報。海報採用天藍色為底，搭配奔跑衝刺的文青手繪插畫，右上角標語寫著「自己學習沒動力？？一群人激發有趣的花火」。海報清晰列出社群制度：每組人數為3~8人，東吳在學學生一人限參與一組；社群類別分為語言類學習、SDGs永續類學習以及最受歡迎的「跨領域暨數位科技類學習」；完成研習者可獲頒自主學習社群證書，特優社群更可獲得每人最高3,000元的高額自主學習獎勵金。海報並公告了期初線上說明會時間（02/20週二中午12:10 Teams視訊），並附有說明會與報名專用的雙二維碼，申請截止日為113年3月4日。"
文件三_第66頁,這是一張設計成橫幅寬屏樣式、色彩濃郁深沉的「113學年度大學申請入學 第二階段甄試重要資訊」速查海報。海報左側以可愛手繪的四位小學生與高中生歡呼雀躍插圖象徵放榜喜悅，中間以白色大字標註「東吳大學祝您考試順利」。海報右側以深色方塊完整劃分三大關鍵期程：左上方紅色方塊標註二階報名繳費（04/22-05/05）與審查資料上傳（05/02-05/05）；右側以巨大醒目的金黃色數字標註「05/18(六)、05/19(日) 第二階段甄試（面試）」；右下方綠色方塊則清楚提示東吳榜示（05/30）、登記志願序（06/06-06/07）與全國統一分發放榜（06/13），時程安排一目了然。
文件三_第67頁,這是一張針對全校師生開辦的「EXCEL資料分析 國際認證考照工作坊」官方招生海報。海報上方以深色商務人士手部操作鍵盤為底圖，以醒目黃字強調「歡迎非資訊科系、無資訊背景學員參加」，主打零基礎直通專業分析師。海報以清楚的三大欄位列出核心資訊：上課時間為4月27日、5月4日及5月11日（連續三週週六全天，中午免費供餐），授課教師為經驗豐富的林志娟老師，上課地點在城中校區2208專業電腦教室；考試費用原價6.7折優惠僅需2400元，只要通過考試當場即可領取母校核發的400元考照獎勵金；正式考試時間為5月11日下午13:00至14:00，右下角附有合格笑臉插圖與報名專用 QR Code。
文件三_第68頁,這是一張表彰系所教授群科研成果卓越的官方榮譽慶賀海報。海報上方以精美大器的金色桂冠勳章與大字「賀」作為榮耀意象，頂部端正印有巨量資料管理學院與資料科學系的官方Logo。海報中央以深藍色大字隆重宣布兩位核心師長的傑出成就：「金凱儀教授、吳政隆副教授 榮獲 國科會112年度『學術研究優秀人才』研究優良獎勵」！海報底部飾有五彩繽紛的慶祝彩帶與手繪派對拉炮圖案，整張海報不僅是對兩位教授在巨量資料、教育科技與自然語言處理等前沿領域所發表的頂級期刊論文給予國家級的高度肯定，更彰顯出資料科學系堅強雄厚、引領台灣大數據研究風向的頂尖師資陣容。
文件三_第69頁,這是一張由教育部主辦、大專校院協辦之「ColleGo! 2024 Open Day 大學選才與高中育才輔助系統」官方活動主視覺海報。海報採用溫暖柔和的卡其大地色為底，中央以極具藝術感的現代字體設計呈現「Open Day」活動大標題。在字體周圍精心繪製了兩位身穿制服的高中男女學生：左側的男同學正盤腿坐在地上專注操作筆記型電腦，右側的女同學則興奮地手持聽診器與望遠鏡象徵探索未知，身旁點綴著綠色氣球、天平、發光燈泡、折線圖與小火箭等象徵各大學門的插畫圖騰。海報清楚標註教育部官方標誌與 ColleGo! 品牌名稱，旨在引導全國高中生與家長透過系統化平台深入探索大學各學系的特色與選才標準。
文件三_第70頁,這是一張展示東吳大學在全台灣各大企業心目中非凡美譽度的榮耀捷報海報。海報頂部以權威字體宣告：「《Cheers》雜誌公布 2024年企業最愛大學生」，海報中央以巨大醒目的金黃色立體字體自豪宣布：「本校榮獲 金融業 私校第1 全國第5」！左上方特別展示了權威排名前五大名單：第一政治大學、第二台灣大學、第三成功大學、第四清華大學，第五名即為東吳大學（遙遙領先全台所有私立大專校院）。海報右下方立體展示了由筆電、金幣山與高聳神殿交織而成的金融科技插畫，並列出高科技製造業、高科技服務業、傳統製造業與金融業等五大產業調查榜單，具體印證了東吳畢業生在全國金融產業無可撼動的超高就業競爭力。
文件三_第71頁,這是一張極具現代數位社群創意、設計成手機螢幕跳出重要推播通知的招生報名倒數圖卡。海報主視覺是一部立體的深灰色智慧型手機介面，頂部時間顯示著鮮紅色的最後時限「17:00」，兩側伴隨著震動閃爍的黃色閃電特效，上方響起亮黃色的小鈴鐺鬧鐘圖示。手機中央彈出一條權威推播通知：「17:00 前進東吳！東吳大學資料科學系：113學年度東吳大學資料科學系碩士班暨碩士在職專班線上報名至113.1.8 17:00截止！」，下方並附有綠色滑動確認開關與東吳招生網搜尋條。整張圖卡以極富代入感的手機推播介面，在報名截止日當天向全網發出最後通牒，強烈提醒考生抓緊最後一刻送出申請。
文件三_第72頁,這是一張記錄東吳大學巨量資料管理學院「文華獎學金頒獎典禮」盛況的六格高畫質紀實拼圖。左上角最大的主照片展示了全體獲獎的二十餘位優秀學士班與碩士班同學手持獎狀，與前排就座的許晉雄院長、捐資企業代表董座及專任教授們在書法對聯下的大合影；右上兩格分別記錄了許晉雄院長與捐資企業董座手持麥克風在會議長桌前發表勉勵賀詞的專注神情；左下角記錄了董座親自將印有「一一二學年度 文華獎學金 頒獎儀式」的榮譽證書頒發給獲獎師長與學生的特寫鏡頭；中下與右下照片則記錄了滿座的獲獎師生圍坐在會議桌旁親切座談、雙向熱烈交流的溫馨場面，充分體現出企業回饋母校、獎掖後進的崇高育才風範。
文件三_第73頁,"這是一張記錄112學年度「巨資學院專題實作成果發表會」活動現場立地告示架的實景照片。畫面拍攝於外雙溪校區第一教研大樓會議中心乾淨光亮的走廊上，中央矗立著一座金屬滾輪式活動看板。看板採用深藍色科技底色，上方以醒目的白色大字標註：「112 巨資學院 專題實作成果發表會」，並清楚載明日程為「29 Dec, 2023 | 8:50am」，地點在第一教研大樓普仁講堂。看板中段條列出全天的發表流程：08:50 師長致詞、09:00 專題發表(一)、13:00 專題發表(二)以及15:05 隆重頒獎。整個畫面記錄下這場年末學術大戲即將登場前那種井然有序、莊重期待的考場氛圍。"
文件三_第74頁,這是一張慶賀「112學年度專題實作成果發表會」圓滿閉幕的全體得獎師生大合照海報。海報上方印有東吳大學校徽與資料科學系標準字，中央的大型活動照片中，前排五位評審委員與指導教授端坐在鋪有亮黃色桌布的評審席前，後方與兩側密密麻麻地站滿了數十位手持各色得獎錦旗、立體獎座與獎狀的優秀參賽學員，大家對著鏡頭興奮地比出剪刀手、讚與愛心，全場洋溢著努力一整年後收穫勝利果實的沸騰熱情。照片下方以深藍色大字宣告：「112學年度專題實作成果發表會 得獎名單」，右側繪製了一座巨大的立體金黃色冠軍獎盃，下方並整齊陳列學院官方Logo，記錄下專題發表的輝煌歷史。
文件三_第75頁,這張照片記錄了112學年度高中生體驗活動的課堂全景實況。在寬敞明亮的大學階梯電腦教室內，講台前的大型高解析投影布幕正投射出簡報首頁，上方以雅緻的幾何圓圈寫著：「巨量資料管理學院 資料科學系 112學年度 高中生體驗活動」。一位身穿深灰色連帽羽絨外套、佩戴口罩的男講師站在講桌旁手持麥克風熱情開講。整間教室坐滿了前來參訪體驗的高中男女學生，大家端坐在舒適的天藍色連體課桌椅上，膝上放著藍色的系所導覽文宣，正全神貫注地聆聽講師介紹大數據在現代生活中的前沿應用。整張照片記錄下了大學端向高中端進行專業科普與升學啟蒙的生動一幕。
文件三_第76頁,這是一張從教室側前方角度拍攝的基隆安樂高中學生參訪聽講照片。整間電腦教室內座無虛席，數十位來自基隆市立安樂高級中學的男女學生身穿冬日保暖防寒外套與運動制服，幾乎全員佩戴口罩，整齊端坐在天藍色的課桌椅上。前排一位留著俐落短髮、戴藍色口罩的男同學眼神專注明亮地直視前方講台；身後的多位女同學與男同學亦雙手平放在桌上，認真凝視著講台大螢幕上的數據科學教學案例。天花板上明亮的平板日光燈將整間現代化教室照耀得通透敞亮，整張照片深刻捕捉到了高中學子初次接觸大學高階資訊與AI課程時那種好奇、專注且深具求知欲的美好青春神態。
文件三_第77頁,這是一張從教室最後一排向前俯拍的震撼參訪全景照片。整間大教室被黑壓壓的高中參訪學生擠得水洩不通，學員們身穿各色羽絨外套與保暖衛衣，背影層層疊疊，大家不約而同地向前傾著身子，全神貫注地凝視著前方講台中央由講師展示的巨大投影片。前方的男講師在明亮的大螢幕前手持麥克風侃侃而談，大螢幕上生動展示著資料科學在智慧醫療、社群網路與演算法推薦等各領域的真實案例。教室走道上放著印有東吳大學校徽的牛皮紙迎賓伴手禮袋，整張照片以宏大的空間視角，完美詮釋了東吳資科系在高中校園推廣教育上所具備的超強吸引力與爆棚的人氣規模。
文件三_第78頁,這張照片記錄了一位講師巧妙運用當代流行文化向高中生深入淺出解構大數據分析的精彩教學瞬間。畫面左側那位身穿深灰色保暖外套、佩戴淺藍色口罩的男講師手持麥克風，正興致勃勃地指向身後巨大的投影布幕。布幕上整齊排列著一張由十六位當紅亞洲頂尖影視與音樂巨星組成的矩陣照片牆，包括許光漢、王一博、IU、BlackPink、BTS防彈少年團、Seventeen、王鶴棣、林襄、車銀優、周杰倫、NewJeans、(G)I-DLE、BIGBANG、太妍、李多慧及朴敘俊等。講師藉由分析各明星在社群網路上的巨量聲量數據、粉絲互動圖譜與演算法標籤，成功引爆了台下滿座高中生的強烈興趣，將抽象的數據科學轉化為極其生動有趣的流行文化解碼課堂。
文件四_第01頁,這是一張針對115學年度即將入學的準新鮮人所設計的「申請入學官方交流群」加入邀請海報。海報採用充滿美式美漫活潑風格的波普藝術（Pop Art）設計，以深藍色與天藍色放射狀條紋為背景，四周點綴著黃色爆裂對話泡泡、黑色星星與兩隻高高舉起的手繪金屬大聲公喇叭。海報頂部以立體藍白字體寫著「NEWS」，上方對話泡泡親切寫道：「歡迎加入的同學與家長，群組記事本中有快速連結，即將舉辦的活動資訊，還有QA懶人包」。中央以莊嚴大氣的字體宣告：「115學年度 資料科學系申請入學QA群 歡迎加入」，正中央配置了一個清晰的大尺寸官方 LINE 社群 QR Code，為考生與家長提供零時差的官方諮詢通道。
文件四_第02頁,這是一張充滿宇宙奇幻童趣的「2026預見東吳」全台巡迴升學博覽會官方宣傳海報。海報背景是深藍色的星系夜空，中央繪製了一顆被星環環繞的粉紫色發光行星、一艘噴發著熊熊烈焰直衝天際的立體紅白小火箭、以及上方駕駛幽浮巡航的外星飛碟，旁邊點綴著一行文青手寫字：「整理你的歷程星圖，成為最亮的那顆星」。海報以醒目的三色圓點清楚公告全台三大巡迴場次：第一「4/11-12 (六-日) 台北場：東吳大學外雙溪校區」；第二「4/18 (六) 台中場：台中全國大飯店」；第三「4/19 (日) 高雄場：高雄福容大飯店」，右側附有活動報名二維碼與教務處電話，熱情邀約全台學子與家長到場探索東吳各學院系所。
文件四_第03頁,這是一張專為零基礎學員量身打造的「讓AI幫你工作與生活：從零開始的實作體驗工作坊」官方招生海報。海報採用現代幾何線條與青藍色科技色塊，副標題宣告核心實戰工具為「打造你的專屬 AI 助手：Ollama x OpenClaw 實戰入門」。海報清楚列出課程資訊：日期為115年4月9日（星期四）下午12:00至15:00，地點在外雙溪校區D101教室，由吳政隆教授領軍吳東儒、吳歷其、吳秉勳四位講師組成超強師資群，名額僅限20名。課程亮點強調「打造真的會幫你做事的專屬AI助手」、「手把手零基礎帶領」與「掌握本機部署大模型架構」。下方特別註明為實體講授加實作課程，學員須自備筆記型電腦並連上校園Wi-Fi，右下角附有報名 QR Code。
